Date,Open,High,Low,Close,Adj Close,Volume
2023-10-19,634.500000,641.000000,632.599976,634.700012,634.700012,657460
2023-10-20,634.450012,637.799988,633.799988,634.950012,634.950012,654219
2023-10-23,634.950012,636.700012,615.150024,617.450012,617.450012,1105408
2023-10-25,620.000000,623.599976,608.549988,611.049988,611.049988,1094888
2023-10-26,609.849976,612.500000,597.349976,605.000000,605.000000,1084441
2023-10-27,608.000000,612.750000,606.099976,606.650024,606.650024,617526
2023-10-30,606.599976,609.150024,602.650024,604.200012,604.200012,465617
2023-10-31,606.500000,609.549988,600.200012,602.250000,602.250000,536471
2023-11-01,603.849976,607.849976,599.000000,600.000000,600.000000,549716
2023-11-02,603.799988,609.049988,602.299988,606.250000,606.250000,741948
2023-11-03,608.000000,610.299988,607.000000,608.049988,608.049988,418848
2023-11-06,609.900024,613.900024,609.500000,611.400024,611.400024,580132
2023-11-07,612.000000,613.900024,610.150024,610.799988,610.799988,453744
2023-11-08,null,null,null,null,null,null
2023-11-09,614.000000,617.200012,613.400024,615.150024,615.150024,151085
